Artist,Title,Grammar,Vocabulary,Culture,Country,Other,,,,,,
"Alex, Jorge, Lena",La canción del pescado,"if, then clause; conditional",,,"Spain, Colombia, Cuba",http://www.youtube.com/watch?v=aAQGxL-MoIU&feature=related,,,,,,
Alfabeto,El Alfabeto de Lola,,,alphabet 26 letters + ñ,,http://www.youtube.com/watch?v=EBgskJ57Ojk&feature=player_embedded,,,,,,
Alik,Para bailar cumbia,preterite,,reggae,Argentina,http://www.youtube.com/watch?list=PLDCD36DACE4695BF1&v=z2Ynym7J78I&feature=player_embedded,,,,,,
Alkilados,Mona Lisa,fanas de,"body parts:  corazon, cara, boca, piel, cuerpo, sonrisa",,Colombia,http://www.youtube.com/watch?v=u7hBMorj6G8,,,,,,
Alkilados,Respira,,,,Colombia,http://www.youtube.com/watch?v=VdjizNDGQVw,,,,,,
"Alvarez, Adalberto",Tu falta de ortografía,preterite/imperfect,,,Cuba,http://www.youtube.com/watch?v=I5Kwmpv0nXI&feature=player_embedded,,,,,,
Amaral,El universo sobre mí,querer + infinitive,,,Spain,http://www.youtube.com/watch?v=bvLQRqzAXuY; ,,,,,,
Amaral,Hacia lo salvaje,preterite/imperfect,nature,video filled with animal images,Spain,http://www.youtube.com/watch?v=sdf152L-D3g&ob=av2e,,,,,,
Amaral,Son mis amigos,"imperfect, preterite",amigos,,Spain,http://www.youtube.com/watch?v=LDX1i0n4XPg,,,,,,
Amaral feat. Beto Cuevas,Te necesito,many tenses,"frio/calor/invierno, sol",,Spain,http://www.youtube.com/watch?v=U-SkI2_UdIo,,,,,,
"Ana Isabelle, ft. Chino y Nacho",La Vida es Bella,,"nature (nubes, estrellas, brisa, etc.)","positive message, video slightly inappropriate","Puerto Rico, Venezuela",http://www.youtube.com/watch?v=M3H8B2MIJ50,,,,,,
Anahí,Me hipnotizas,object pronouns,ojos,,México,http://www.youtube.com/watch?v=D4v80-mJenQ,,,,,,
Angel y Khriz,Ayer la vi,preterite imperfect,,,Puerto Rico,http://www.youtube.com/watch?v=lPIdoOMOXzU,,,,,,
Animales,Animales,,,an animal for every letter in the alphabet,Spain,http://www.youtube.com/watch?v=-ydVZy4vE3Y,,,,,,
Anna Carina,Ya me canse,preterite/imperfect,,lesson here: http://bilinguish.com/2013/07/16/me-canse/,Peru,https://www.youtube.com/watch?feature=player_embedded&v=mgMVraOOXFA#at=105,,,,,,
"Anthony, Marc",El último beso,preterite,"llorar, lágrimas",salsa,U.S. (of Puerto Rican parents),"sigo llorando; dichos:  lo que pasó, pasó y la vida no es color de rosa",,,,,,
"Anthony, Marc",Preciosa,,,video of Puerto Rico,Puerto Rico,http://www.youtube.com/watch?v=66ew3bhdLiY&feature=related ; http://www.youtube.com/watch?v=hj-0KHHMGH8&feature=related,,,,,,
"Anthony, Marc",Vivir mi vida, voy a/ para que/pa',,repetition of voy a/ para que,Puerto Rico,http://www.youtube.com/watch?v=alUhI7WUnh4,,,,,,
AR verb song,present indicative ar verb song,,,part of the Realidades series,U.S.,http://www.youtube.com/watch?v=ro5vTlD7C8c,,,,,,
"Aragon, Emilio",Cuidado con paloma,present perfect,,"an ""oldie""",Spain,http://www.youtube.com/watch?feature=player_embedded&v=o4SStMlSD5Q,,,,,,
Argentina,La Chacarera,,,traditional dance,Argentina,http://www.youtube.com/watch?v=I8XCoUIHCC4&feature=related,,,,,,
Argentina,Malambo,,,traditional dance,Argentina,http://www.youtube.com/watch?v=QihC4Opvfb4&feature=related,,,,,,
Argentina,Tango,,,traditional dance,Argentina,http://www.youtube.com/watch?v=bXhQNRsH3uc&feature=fvw,,,,,,
Argentina,Tango,,,"Scent of a Woman, Al Pacino",Argentina,http://www.youtube.com/watch?v=dBHhSVJ_S6A&feature=related,,,,,,
Argentina,Todo el mundo es música,,,"series of 6 videos for music in Argentina, Cuba, Mexico, Honduras, Peru",Argentina,http://www.rtve.es/alacarta/videos/todo-el-mundo-es-musica/,,,,,,
"Arjona, Ricardo",El mojado,,,Immigration,Guatemala,https://www.youtube.com/watch?v=1yV0HSsc--A,,,,,,
"Arjona, Ricardo",Ella y él,"present indicative, preterite,present perfect","preferences, likes, love","Cuban immigrants, stereotypes",Guatemala,http://www.youtube.com/watch?v=K6PXwxi4eJI,,,,,,
"Arjona, Ricardo",Quiero  ,"present indicative,infinitives",,,Guatemala,http://www.youtube.com/watch?v=bLMu2W-pRxw,,,,,,
"Arjona, Ricardo",Si tu no existieras,"si clauses; conditional, past subjunctive",,,Guatemala,http://www.youtube.com/watch?v=crfapFNmcFU  ; http://www.youtube.com/watch?v=_a2z36c68Bo,,,,,,
"Arjona, Ricardo",Te quiero,quiero,,,Guatemala,http://www.youtube.com/watch?feature=player_embedded&v=aiX2T7wQQyo,,,,,,
"Arjona, Ricardo ",Puente,,,Cuba; Cuban immigration,Guatemala,http://www.youtube.com/watch?v=V1ZhKdZPpYo&feature=youtu.be,,,,,,
"Arjona, Ricardo ft. Gaby Moreno",Fuiste Tú,preterite; possessives,,excellent cultural video,Guatemala,http://www.youtube.com/watch?v=I9cCPQVPv8o,,,,,,
"Arnau, Lucas",De la mano,"tengo, quiero",,,Colombia,http://www.youtube.com/watch?feature=player_embedded&v=BNwK-W5L_RU,,,,,,
"Arnau, Lucas",Nos pasa por elegantes,"present indicative, present subjunctive, future",,,Colombia,http://www.youtube.com/watch?v=hOgD5-sD8YM,,,,,,
Aterciopelados,Bandera,,,immigration,Colombia,http://www.youtube.com/watch?v=1rizSr6diHo&feature=player_embedded,,,,,,
Aterciopelados,Bandera ,,,immigration,Colombia,http://www.youtube.com/watch?v=1rizSr6diHo,,,,,,
Aterciopelados,Complemento,"present indicative, imperfect",opposites,,Colom,http://www.youtube.com/watch?v=Huzo6ClspyI,,,,,,
Aventura,Dile al amor,familiar commands ,,bachata,"U.S., Dominican Republic",http://www.youtube.com/watch?v=WivMb-s_UHI,,,,,,
Aventura,Mi corazoncito,,diminutives,"bachata, mourning","U.S., Dominican Republic",http://www.youtube.com/watch?v=PpfshN1wJKU,,,,,,
Aventura,Por un segundo,many tenses,"emotions, love",,"U.S., Dominican Republic",http://www.youtube.com/watch?v=GHLVjriwzFg&feature=related,,,,,,
Axel,Afinidad,future,,,Argentina,https://www.youtube.com/watch?v=pfBIIbKJMwI,,,,,,
Axel,Celebra la vida,,"dreams, goals",,Argentina,http://vimeo.com/62205735,,,,,,
Axel,Es ella,,love,,Argentina,https://www.youtube.com/watch?v=V-mRMkqh_vw,,,,,,
Axel,Te voy a amar,present indicative,,,Argentina,http://www.youtube.com/watch?v=KZh60U1PqSE,,,,,,
Axel,Todo mi mundo,ser,,Axel Fernando,Argentina,http://www.youtube.com/watch?v=QtQpQIuEpXo,,,,,,
Axel,Tu amor por siempre,quiero ser,por siempre,,Argentina,https://www.youtube.com/watch?v=cMtBOR_U-pI,,,,,,
"Axel y Diaz, Julieta",Basta Ya!,,,various artists; en defensa de la vida y el agua pura,Argentina,https://www.youtube.com/watch?feature=player_embedded&v=4150SXVKxn0,,,,,,
Azul Azul,Quisiera que tú me quieras,present subjunctive,,,Bolivia,http://www.youtube.com/watch?v=D7nP7gVyJSE,,,,,,
Bacilos,Colores,,,the world in color,U.S.,http://www.youtube.com/watch?v=H40WHpSJHlw&feature=share,,,,,,
Bacilos,Mi primer millón,"present, subjunctive",,,"Colombia, Puerto Rico, Brasil",http://www.youtube.com/watch?v=MaMxdbbwDzQ&feature=fvst ; http://www.youtube.com/watch?v=r_qbrBopC8Q&feature=related,,,,,,
Bahiano,A primera vista,preterite,,,Brasil,http://www.youtube.com/watch?v=L-eUf5_8NUU,,,,,,
Bajo Fondo,Pa'Bailar,,no words,electrified tango,Argentina/Uruguay,http://www.youtube.com/watch?v=EfUspBo4EwM; http://www.youtube.com/watch?v=riuF_Ur3unc,,,,,,
Bajofondo,Lluvia ,,"verano, invierno, lluvia, chaparron, calor,cielo, oscuridad",,Argentina,http://www.youtube.com/watch?feature=player_embedded&v=pT-P5YrcpVk,,,,,,
Banda de Turistas,La hora del segundo,,,,Argentina,http://www.youtube.com/watch?v=7bNb1u8fZ0Q&feature=player_embedded,,,,,,
Banda de Turistas,Lo comandas,,,,Argentina,http://www.youtube.com/watch?v=lI8Limkx6GU&feature=player_embedded#at=26,,,,,,
Banda de Turistas,Todo mío el otoño,,,,Argentina,http://www.youtube.com/watch?v=2p7C7utKyvk&feature=player_embedded#at=62,,,,,,
Banda Radial,Que tengo que ofrecerte,"tengo que, tengo para",,recommended by Jesse y Joy,Puerto Rico,http://www.youtube.com/watch?v=o4l29J1lk2E&feature=youtu.be,,,,,,
Banda Sonora Original,Yo quiero marcha marcha,querer,,,,"from the movie Madagascar, http://www.youtube.com/watch?v=1z_gy-8rJZc&feature=player_embedded",,,,,,
"Barba, Reyli & Yuridia",¿Qué nos pasó?,preterite; reflexive verbs,,,México,http://www.youtube.com/watch?v=cWE5FEegHbk,,,,,,
Barrio Zumba,Mexicano,,food,Mexican identity,México,http://www.youtube.com/watch?v=19Tka_jJhkM,,,,,,
"Baute, Carlos",Amarte bien,"object pronouns, imperfect",Te amo,,Venezuela,http://www.youtube.com/watch?v=hEBwu9ffpo8&feature=related,,,,,,
"Baute, Carlos",Amarte bien  the making of……,,,"interviews, children of Venezuela, countryside",Venezuela,http://www.youtube.com/watch?feature=player_embedded&v=B1pNmSwNhtA,,,,,,
"Baute, Carlos",Colgando en tus manos,,,video made with images to match lyrics,"Venezuela, Spain",http://community.eflclassroom.com/video/colgado-en-tus-manos-1,,,,,,
"Baute, Carlos",En el buzon de tu corazon,preterite; many tenses,,,Venezuela,http://www.youtube.com/watch?v=wcsi5XRsgTE,,,,,,
"Baute, Carlos",En el buzón de tu corazón,preterite,,,Venezuela,https://www.youtube.com/watch?v=_6SsnI6Wgxo,,,,,,
"Baute, Carlos","Intenta Respetar, que mi voz sea tu voz",,,solidarity Venezuela,Venezuela,https://www.youtube.com/watch?v=c8aGCD_UbRM,,,,,,
"Baute, Carlos",Quién dice que no duele`,,,"social awareness, ",Venezuela,http://www.youtube.com/watch?v=n54RubrCkz4,,,,,,
"Baute, Carlos",Quién te quiere como yo,"object pronoun te, present indicative",,faithful love,Venezuela,http://www.youtube.com/watch?v=mME-URRbak8,,,,,,
"Baute, Carlos",Te regalo,object pronouns  infinitives,,14 febrero,Venezuela,http://www.youtube.com/watch?v=T4THBd2p3Ww,,,,,,
"Baute, Carlos",Todo se olvida,"affirmative and negative informal commands, future, present subjunctive","confiar en, esperanza",,Venezuela,http://www.youtube.com/watch?v=qkpraknb8Us&feature=related,,,,,,
"Baute, Carlos",Yo me quedo en Venezuela,,,Venezuela,Venezuela, http://www.youtube.com/watch?v=NfZmw6GWGxE&feature=player_embedded#at=60  http://www.youtube.com/watch?v=SUNdXnF6Aek&feature=related,,,,,,
"Baute, Carlos",Yo nací para quererte,,,song for venezuela,Venezuela,http://www.youtube.com/watch?v=T4THBd2p3Ww,,,,,,
"Baute, Carlos feat. María José",Como decir que no,present indicative; object pronouns attached to infinitive,,,Venezuela,https://www.youtube.com/watch?v=2equ65-wLIo,,,,,,
Bebe,Ska de la Tierra,,,"earth, contamination, hunger, war",Spain,http://www.youtube.com/watch?v=gwcC2Rk7p9o ;  http://www.youtube.com/watch?v=Dx3SDGEtAJ8,,,,,,
Belanova,Eres tú,,,from High School Musical,Mexico,http://www.youtube.com/watch?v=sISyuR3y4k8&feature=channel,,,,,,
Belanova,Hasta el final,"present indicative, repetition for tú sabes",,,México,http://www.youtube.com/watch?v=CwtH3Egg68E&feature=player_embedded,,,,,,
Belanova,Nada de más,infinitives,,,México,http://www.youtube.com/watch?v=wZ2lnHlmUpg,,,,,,
Belanova,Por esta vez,preterite,greetings,,Mexico,http://www.youtube.com/watch?v=gInno9ztllQ,,,,,,
Belanova,Solo dos,,,,México,https://www.youtube.com/watch?v=thOIDL1bD6s,,,,,,
Belanova,Yo nunca vi televisión,,,,Mexico,,,,,,,
Belinda,Bella Traición,"present, preterite, future",,,Mexico,http://www.youtube.com/watch?v=FCpolTnNLAk&feature=avmsc2,,,,,,
Belinda,En el amor hay que perdonar,,,,México,http://www.youtube.com/watch?v=gcwLmvKvNEU&feature=player_embedded,,,,,,
Belinda,En el mundo hay que perdonar,"present subjunctive, future",hay que,,México,http://www.youtube.com/watch?v=mlGw-nZaWgU  ; ,,,,,,
Belinda,En la oscuridad,,,may not be high school appropriate,México,http://www.vevo.com/watch/belinda/en-la-obscuridad/USELV1200019?utm_source=youtube&utm_medium=watch&utm_campaign=wp_belinda_en_la_obscuridad,,,,,,
Belinda,Nada,Preterite,"queda, darse cuenta, falta",,México,https://www.youtube.com/watch?v=Iy4qy46uyEo,,,,,,
Belinda,Princesa,,,,México,http://www.youtube.com/watch?feature=player_embedded&v=aiX2T7wQQyo,,,,,,
Benise,Malagueña,,,"nouveau flamenco; flashy, theatrical version",U.S.,http://www.youtube.com/watch?v=C4DPEEQZagM&feature=player_embedded,,,,,,
"Bergara, Josu",Pitxuen kanta,,,"Basque:  Bilbao, Pais Vasco",Spain,https://www.youtube.com/watch?feature=player_embedded&v=OpVGum66fDg,,,,,,
"Bermudez, Obie",Si fuera facil,"past subjunctive, conditionalcontar con",,,Puerto Rico,http://www.youtube.com/watch?v=pC9r6GyraqY,,,,,,
"Betancourth, Daniel",No me pidas tiempo,,,,Ecuador,http://www.youtube.com/watch?v=zKiAuvUI1Nc&feature=player_embedded#at=49,,,,,,
Beyonce,Oye,,,,United States ,http://www.youtube.com/watch?v=DxarCmGNLPU,,,,,,
Beyonce,Si yo fuera un chico,"si clauses, past subjunctive, conditional",,,U.S.,http://www.youtube.com/watch?v=rZEaZR90vs4,,,,,,
Beyonce with Alejandro Sanz,Amor Gitano,"present subjunctive, present indicative",,,"U.S., Spain",http://www.youtube.com/watch?v=cQfQZuqDnGQ,,,,,,
"Beyonce, Alejandro Fernández",Amor Gitano,,,"educational video, images match words",,http://www.youtube.com/watch?v=4vJgRgddz1o&feature=player_embedded,,,,,,
Big Sandy y los Straitjackets,Chica Alborotada,,,Spanish cover of Tallahassee Lassie,U.S.,https://www.youtube.com/watch?feature=player_embedded&v=KnFDQXpJtMI,,,,,,
Binomio de Oro,Me sobran las palabaras,,love,easily understood; vallenato,Colombia,http://www.youtube.com/watch?v=XseUeHObg04,,,,,,
"Bisbal, D avid y Cyrus, Miley",Cuando te mira a ti,,,"English, Spanish","Spain, U.S.",http://www.youtube.com/watch?v=J2sG8nvoshg&feature=related,,,,,,
"Bisbal, David",Al Andalus,,,Andalucia,Spain,not the official video: http://www.youtube.com/watch?v=1d6gaJfjQnI&feature=related;  http://www.youtube.com/watch?v=fMnov-76vKg&feature=related,,,,,,
"Bisbal, David",Anuncio:  Nocilla,,,"Nutella, in Spanish",Spain,http://www.youtube.com/watch?v=3criLbqGdXw&feature=player_embedded,,,,,,
"Bisbal, David",Bulería,,,"Andalucia, flamenco, dance",Spain,http://www.youtube.com/watch?v=wTm-Q43ZQek&feature=related,,,,,,
"Bisbal, David",Coca Cola Navidad,,,,Spain,http://www.youtube.com/watch?feature=player_embedded&v=tiwgCHSZYI8,,,,,,
"Bisbal, David",Diez mil maneras,adverbs followed by infinitive,,,Spain,https://www.youtube.com/watch?v=fFF7Kr1WPiI,,,,,,
"Bisbal, David",Diez mil maneras,"infinitives: correr, olvidar, desparecer, hablar, herir, caer, levantar, decir, vivir, decidir, rescatar, contar, ocultar, evitar, intentar, mentir, perder",,,Spain,http://www.youtube.com/watch?v=gEdahTrpZZU,,,,,,
"Bisbal, David",Para enamorarte de mi,,,,Spain,https://www.youtube.com/watch?v=Cq7EVlOiYaA,,,,,,
"Bisbal, David",Soldados de papel,,,children in war,Spain,http://www.youtube.com/watch?v=P-rIM-5Xmsc&feature=player_embedded,,,,,,
"Bisbal, David",Torre de Babel,,,,Spain,http://www.youtube.com/watch?v=Y2E-M9Kes_U&feature=related,,,,,,
"Bisbal, David",Waving Flags,,,"soccer, FIFA 2010",Spain,"with letras   http://www.youtube.com/watch?v=yBak6Hnihlc&feature=fvst    duet with K'Naan, http://www.youtube.com/watch?v=DV8HpCCI3L0&feature=related",,,,,,
"Bisbal, David con Cali y El Dandee",No hay dos sin tres,,,Europcopa 2012 anthem,Spain/Colombia,http://www.youtube.com/watch?feature=player_embedded&v=F1WiylMdzlg,,,,,,
"Bisbal, David con Cali y El Dandee",No hay dos sin tres,,soccer,"video with La Roja, after winning Euro 2012",Spain/Colombia,https://www.youtube.com/watch?v=fnj9Tk-rMoM&feature=player_embedded,,,,,,
"Bisbal, David with Chenoa",Bella y la Bestia,,,,Spain/Argentina (Spain),http://www.youtube.com/watch?v=bG35Nzg9xss&feature=player_embedded,,,,,,
"Blacc, Aloe COVER",Despiertame,,,Immigration   mariachi cover of Wake Me Up,U.S.,https://www.youtube.com/watch?v=_PVLCZE_ov0,,,,,,
Black Bee,Ecua Nation,,soccer,Spanish/English,Guinea Ecuatorial,http://www.youtube.com/watch?feature=player_embedded&v=RcDmNB2fOTI#!,,,,,,
"Blades, Ruben",Cameleon,,,,Panama,https://www.youtube.com/watch?feature=player_embedded&v=pMjphuqa5j8,,,,,,
"Blades, Rubén",Caminando,"gerunds, impersonal se",,salsa,Panamá,http://www.youtube.com/watch?v=yjC7hEBOOkU&feature=player_embedded#!,,,,,,
"Blades, Rubén",Pedro Navaja,,clothing,,Panamá,http://www.youtube.com/watch?v=0PqX3L5Am_8; http://www.youtube.com/watch?v=VLhhnJH_eEo,,,,,,
"Blades, Rubén y Santa Rosa, Gilberto",Me cambiaron todas las preguntas,"preterite, imperfect",,,"Panamá, Puerto Rico",http://www.youtube.com/watch?v=aPhtWQjDy0w&feature=related,,,,,,
Bob Esponja,Quiero que me quieras,subjunctive with querer,,,U.S.,http://www.youtube.com/watch?v=8E8ownI7nh8&feature=player_embedded,,,,,,
Bomba Estéreo,Fuego,,repetitive ,rich cultural images,Colombia,http://www.youtube.com/watch?v=Td1hajshtGA,,,,,,
"Bosé, Miguel y Sariñana, Ximena",Aire Soy,"hay, habrá, hubo","sin, nada, nadie",,"Panamá, México",http://www.youtube.com/watch?v=hnCQlCqjvqo&feature=branded,,,,,,
Brida,No me busques más,,,,Spain,http://www.youtube.com/watch?v=PWpNrh_yPhU&feature=related,,,,,,
"Brito, Rafael",Mamá Oh,,"quiere, bailar, gozar",Venezuelan calypso,Venezuela,no video currently,,,,,,
Buena Vista Social Club,Candela,,,,Cuba,http://www.youtube.com/watch?v=0DE3CTcGqCs&feature=related,,,,,,
Buena Vista Social Club,Chan Chan,,,,Cuba,http://www.youtube.com/watch?v=6rRJP8rVg-4,,,,,,
Buena Vista Social Club,Dos Gardenias,,,,Cuba,http://www.youtube.com/watch?v=5MquM7gUpp4&feature=related,,,,,,
Buena Vista Social Club,Lamento Guajiro,,,good slideshow of Cuba,Cuba,http://www.youtube.com/watch?v=_5bY6WM3-W4&feature=related,,,,,,
"Bunbury, Enrique",Algo en común,present indicative,feelings,,Spain,http://www.youtube.com/watch?v=fpklEv42Q0s,,,,,,
"Bunbury, Enrique",Aunque no sea conmigo,many tense,,,Spain,http://www.youtube.com/watch?v=HYZiHcevpxM&feature=related,,,,,,
"Bunbury, Enrique",Con el alma en los labios,"si clauses, past subjunctive, conditional",,,Spain,http://www.youtube.com/watch?v=7KXmS9N3Ru0&feature=related,,,,,,
"Bunbury, Enrique",De todo el mundo,present subjunctive (que +),"aquí, allá, tuyo",soy vagabundo,Spain,http://www.youtube.com/watch?v=d_jb_xkkQlQ&feature=fvw; http://www.youtube.com/watch?v=rlV7gOj5p44&annotation_id=annotation_631140&feature=iv,,,,,,
"Bunbury, Enrique",Frente a frente,present indicative,"apenas, queda/quedan",,Spain,http://www.youtube.com/watch?v=2eIy648WfJQ,,,,,,
"Bunbury, Enrique",Los Inmortales,,"luna, nubes, bajo tierra, luz, ",reference to Sherlock Holmes,Spain,https://www.youtube.com/watch?v=2WDFOG4eGpA,,,,,,
"Bunbury, Enrique",Sácame de aquí,,,,Spain,http://www.youtube.com/watch?v=n88MPTqk-Qk&feature=related,,,,,,
"Bunbury, Enrique",Si,"preterite, present subjunctive",dímelo ,,Spain,http://www.youtube.com/watch?v=XkdoPeTxtns&feature=related,,,,,,
"Bunbury, Enrique y Orishas y Cabas",He Pecado,"present perfect, preterite",,,"Spain, Cuba",http://www.youtube.com/watch?v=krF0oRKPdRs,,,,,,
"Bunbury, Enrique y Zoe",Nada,para + infinitive; nada + present subjunctive,,,Spain/México,http://www.youtube.com/watch?v=jyfyPe8uJEY&feature=related,,,,,,
Café Quijano,Ardiente Amor,present indicative only,love,,Spain,from Lilo & Stitch http://www.youtube.com/watch?v=WB07MxERFKk,,,,,,
Café Quijano,La Taberna del Buda,,some professions,,Spain,https://www.youtube.com/watch?feature=player_embedded&v=lb8Ithzc3t8,,,,,,
Café Quijano,No tienes corazón,"many tenses, stem changing verbs, subjunctive",,,Spain,with Joaquin Sabina http://www.youtube.com/watch?v=4_xQYUPBhvw&feature=related,,,,,,
Café Quijano,Poesía de Amor,"future, present indicative, subjunctive, object pronouns", love,poetry,Spain,http://www.youtube.com/watch?v=fYBOWfXKyEk,,,,,,
Café Tacuba,Eres,"eres, soy, estoy, present indicative",,,México,http://www.youtube.com/watch?v=98Akpf1ph2o&feature=related,,,,,,
Café Tacuba,Esa noche,"past subjunctive,  ",,,México/U.S.,http://www.youtube.com/watch?v=96WfA9ejx_I&feature=related,,,,,,
Café Tacuba,Ojalá que llueva café,,,Querétaro México  great video,México,http://www.youtube.com/watch?v=raRWSD8LSKU&feature=youtu.be,,,,,,
Café Tacuba,Ojalá que llueva café,,,for comparison with Juan Luis Guerra,México/U.S.,http://www.youtube.com/watch?v=nWhDB8JME-g,,,,,,
Café Tacuba,Volver a comenzar,"si clauses, past subjunctive, conditional",volver a,if you could start over again,U.S./Mexico,http://www.youtube.com/watch?v=R7IPxngsAPY,,,,,,
"Calamaro, Andrés",Los Destinos,,,,Argentina,http://www.youtube.com/watch?v=N0s8lsqiZnc&feature=related,,,,,,
Calambuco,No estás en ná,,,"salsa en Cali, Colombia",Colombia,http://www.youtube.com/watch?v=fGF10Eys9jM&feature=player_embedded#at=20,,,,,,
"Calderon, Daniel y los Gigantes",Borracho Beso,,,,Colombia,http://www.youtube.com/watch?v=PzP3mnJbnAI,,,,,,
"Calderón, Daniel y los Gigantes",La Señal,,,,Colombia,http://www.youtube.com/watch?v=vMpB5-JGWbw,,,,,,
Cali & El Dandee,Yo te esperaré,future,,kidnapping,Colombia,http://www.youtube.com/watch?v=_KSyWS8UgA4&feature=player_embedded#at=112,,,,,,
Cali y el Dandee,Bésame,,,,Colombia,http://www.youtube.com/watch?v=YtPvLIX7HZ0&feature=related,,,,,,
Cali y el Dandee,Gol,,soccer,"English F*** You, unfortunately in the middle",Colombia,http://www.youtube.com/watch?v=v4L-b0CFDsc&feature=related,,,,,,
Cali y el Dandee,No me digas ,"present indicative, commands, querer + infinitive,",interrogatives,,Colombia,http://www.youtube.com/watch?feature=player_embedded&v=rDRyzGh3aBg,,,,,,
Cali y el Dandee,No necesito más,,,,Colombia,http://www.youtube.com/watch?v=saEP5uUNYyE&feature=related,,,,,,
Cali y el Dandee,Te doy mi corazón,,,,Colombia,http://www.youtube.com/watch?v=zqlkbbJ003w,,,,,,
Cali y el Dandee,Te necesito,necesito que + present subjunctive; aunque +present subjunctive,"luna, mar, aire, respirar",,Colombia,http://www.youtube.com/watch?v=qSnHdir-2sQ&feature=related,,,,,,
Cali y el Dandee,Volver te quiero,multiple tenses,,,Colombia,http://www.youtube.com/watch?v=2Mh2OuEgPHw&feature=related,,,,,,
Calí y el Dandee,No digas nada por favor,"present indicative, present subjunctive, preterite",love/relationships,,Colombia,https://www.youtube.com/watch?v=rDRyzGh3aBg,,,,,,
Cali y el Dandee ,Tus ojos,present indicative,"lo que, no hay duda","English F*** You, unfortunately in the middle",Colombia,http://www.youtube.com/watch?v=XY892dje4KY&feature=related,,,,,,
Cali y El Dandee con David Bisbal,No hay dos sin tres,,,Europcopa 2012 anthem,Colombia/Spain,http://www.youtube.com/watch?feature=player_embedded&v=F1WiylMdzlg,,,,,,
Cali y El Dandee con David Bisbal,No hay dos sin tres,,soccer,"video with La Roja, after winning Euro 2012",Colombia/Spain,https://www.youtube.com/watch?v=fnj9Tk-rMoM&feature=player_embedded,,,,http://www.youtube.com/watch?v=w5AfIeu1kjM,,
Cali y el Dandee ft. Kevin Roldan,La muda,Quiero que  + present subjunctive,,,Colombia,http://www.youtube.com/watch?v=Za8DC7y_T4A,,,,,,
Cali y el Dandee ft. Tatiana,Hoy,"present indicative, sigo + participle",sigo,,Colombia,http://www.youtube.com/watch?v=ZJIxlUW9HUo&feature=related,,,,,,
Calibre 50,El imigrante,,,Immigration,México,https://www.youtube.com/watch?v=6AqJCaylRbg,,,,,,
